index	name	cifti_name
348	Left_Ig	Left_Ig
349	Left_FOP5	Left_FOP5
350	Left_p10p	Left_p10p
351	Left_p47r	Left_p47r
352	Left_TGv	Left_TGv
353	Left_MBelt	Left_MBelt
354	Left_LBelt	Left_LBelt
355	Left_A4	Left_A4
356	Left_STSva	Left_STSva
357	Left_TE1m	Left_TE1m
358	Left_PI	Left_PI
359	Left_a32pr	Left_a32pr
360	Left_p24	Left_p24
