index	label	community	cifti_label
161	R_CinguloOperc_37	CinguloOperc	Parcel_161
162	R_CinguloOperc_38	CinguloOperc	Parcel_162
163	R_CinguloOperc_39	CinguloOperc	Parcel_163
164	R_CinguloOperc_40	CinguloOperc	Parcel_164
165	L_MedialParietal_1	MedialParietal	Parcel_165
166	L_MedialParietal_2	MedialParietal	Parcel_166
167	L_MedialParietal_3	MedialParietal	Parcel_167
168	R_MedialParietal_4	MedialParietal	Parcel_168
169	R_MedialParietal_5	MedialParietal	Parcel_169
170	L_DorsalAttn_1	DorsalAttn	Parcel_170
171	L_DorsalAttn_2	DorsalAttn	Parcel_171
172	L_DorsalAttn_3	DorsalAttn	Parcel_172
173	L_DorsalAttn_4	DorsalAttn	Parcel_173
174	L_DorsalAttn_5	DorsalAttn	Parcel_174
175	L_DorsalAttn_6	DorsalAttn	Parcel_175
176	L_DorsalAttn_7	DorsalAttn	Parcel_176
177	L_DorsalAttn_8	DorsalAttn	Parcel_177
178	L_DorsalAttn_9	DorsalAttn	Parcel_178
179	L_DorsalAttn_10	DorsalAttn	Parcel_179
180	L_DorsalAttn_11	DorsalAttn	Parcel_180
181	L_DorsalAttn_12	DorsalAttn	Parcel_181
182	L_DorsalAttn_13	DorsalAttn	Parcel_182
183	L_DorsalAttn_14	DorsalAttn	Parcel_183
184	L_DorsalAttn_15	DorsalAttn	Parcel_184
185	L_DorsalAttn_16	DorsalAttn	Parcel_185
186	L_DorsalAttn_17	DorsalAttn	Parcel_186
187	L_DorsalAttn_18	DorsalAttn	Parcel_187
188	L_DorsalAttn_19	DorsalAttn	Parcel_188
189	R_DorsalAttn_20	DorsalAttn	Parcel_189
190	R_DorsalAttn_21	DorsalAttn	Parcel_190
191	R_DorsalAttn_22	DorsalAttn	Parcel_191
192	R_DorsalAttn_23	DorsalAttn	Parcel_192
193	R_DorsalAttn_24	DorsalAttn	Parcel_193
194	R_DorsalAttn_25	DorsalAttn	Parcel_194
195	R_DorsalAttn_26	DorsalAttn	Parcel_195
196	R_DorsalAttn_27	DorsalAttn	Parcel_196
197	R_DorsalAttn_28	DorsalAttn	Parcel_197
198	R_DorsalAttn_29	DorsalAttn	Parcel_198
199	R_DorsalAttn_30	DorsalAttn	Parcel_199
200	R_DorsalAttn_31	DorsalAttn	Parcel_200
201	R_DorsalAttn_32	DorsalAttn	Parcel_201
202	L_VentralAttn_1	VentralAttn	Parcel_202
203	L_VentralAttn_2	VentralAttn	Parcel_203
204	L_VentralAttn_3	VentralAttn	Parcel_204
205	L_VentralAttn_4	VentralAttn	Parcel_205
206	L_VentralAttn_5	VentralAttn	Parcel_206
207	L_VentralAttn_6	VentralAttn	Parcel_207
208	L_VentralAttn_7	VentralAttn	Parcel_208
209	L_VentralAttn_8	VentralAttn	Parcel_209
210	L_VentralAttn_9	VentralAttn	Parcel_210
211	L_VentralAttn_10	VentralAttn	Parcel_211
212	L_VentralAttn_11	VentralAttn	Parcel_212
213	R_VentralAttn_12	VentralAttn	Parcel_213
214	R_VentralAttn_13	VentralAttn	Parcel_214
215	R_VentralAttn_14	VentralAttn	Parcel_215
216	R_VentralAttn_15	VentralAttn	Parcel_216
217	R_VentralAttn_16	VentralAttn	Parcel_217
218	R_VentralAttn_17	VentralAttn	Parcel_218
219	R_VentralAttn_18	VentralAttn	Parcel_219
220	R_VentralAttn_19	VentralAttn	Parcel_220
221	R_VentralAttn_20	VentralAttn	Parcel_221
222	R_VentralAttn_21	VentralAttn	Parcel_222
223	R_VentralAttn_22	VentralAttn	Parcel_223
224	R_VentralAttn_23	VentralAttn	Parcel_224
225	L_Visual_1	Visual	Parcel_225
226	L_Visual_2	Visual	Parcel_226
227	L_Visual_3	Visual	Parcel_227
228	L_Visual_4	Visual	Parcel_228
229	L_Visual_5	Visual	Parcel_229
230	L_Visual_6	Visual	Parcel_230
231	L_Visual_7	Visual	Parcel_231
232	L_Visual_8	Visual	Parcel_232
233	L_Visual_9	Visual	Parcel_233
234	L_Visual_10	Visual	Parcel_234
235	L_Visual_11	Visual	Parcel_235
236	L_Visual_12	Visual	Parcel_236
237	L_Visual_13	Visual	Parcel_237
238	L_Visual_14	Visual	Parcel_238
239	L_Visual_15	Visual	Parcel_239
240	L_Visual_16	Visual	Parcel_240
241	L_Visual_17	Visual	Parcel_241
242	L_Visual_18	Visual	Parcel_242
243	R_Visual_19	Visual	Parcel_243
244	R_Visual_20	Visual	Parcel_244
245	R_Visual_21	Visual	Parcel_245
246	R_Visual_22	Visual	Parcel_246
247	R_Visual_23	Visual	Parcel_247
248	R_Visual_24	Visual	Parcel_248
249	R_Visual_25	Visual	Parcel_249
250	R_Visual_26	Visual	Parcel_250
251	R_Visual_27	Visual	Parcel_251
252	R_Visual_28	Visual	Parcel_252
253	R_Visual_29	Visual	Parcel_253
254	R_Visual_30	Visual	Parcel_254
255	R_Visual_31	Visual	Parcel_255
256	R_Visual_32	Visual	Parcel_256
257	R_Visual_33	Visual	Parcel_257
258	R_Visual_34	Visual	Parcel_258
259	R_Visual_35	Visual	Parcel_259
260	R_Visual_36	Visual	Parcel_260
261	R_Visual_37	Visual	Parcel_261
262	R_Visual_38	Visual	Parcel_262
263	R_Visual_39	Visual	Parcel_263
264	L_SMhand_1	SMhand	Parcel_264
265	L_SMhand_2	SMhand	Parcel_265
266	L_SMhand_3	SMhand	Parcel_266
267	L_SMhand_4	SMhand	Parcel_267
268	L_SMhand_5	SMhand	Parcel_268
269	L_SMhand_6	SMhand	Parcel_269
270	L_SMhand_7	SMhand	Parcel_270
271	L_SMhand_8	SMhand	Parcel_271
272	L_SMhand_9	SMhand	Parcel_272
273	L_SMhand_10	SMhand	Parcel_273
274	L_SMhand_11	SMhand	Parcel_274
275	L_SMhand_12	SMhand	Parcel_275
276	L_SMhand_13	SMhand	Parcel_276
277	L_SMhand_14	SMhand	Parcel_277
278	L_SMhand_15	SMhand	Parcel_278
279	L_SMhand_16	SMhand	Parcel_279
280	L_SMhand_17	SMhand	Parcel_280
281	L_SMhand_18	SMhand	Parcel_281
282	R_SMhand_19	SMhand	Parcel_282
283	R_SMhand_20	SMhand	Parcel_283
284	R_SMhand_21	SMhand	Parcel_284
285	R_SMhand_22	SMhand	Parcel_285
286	R_SMhand_23	SMhand	Parcel_286
287	R_SMhand_24	SMhand	Parcel_287
288	R_SMhand_25	SMhand	Parcel_288
289	R_SMhand_26	SMhand	Parcel_289
290	R_SMhand_27	SMhand	Parcel_290
291	R_SMhand_28	SMhand	Parcel_291
292	R_SMhand_29	SMhand	Parcel_292
293	R_SMhand_30	SMhand	Parcel_293
294	R_SMhand_31	SMhand	Parcel_294
295	R_SMhand_32	SMhand	Parcel_295
296	R_SMhand_33	SMhand	Parcel_296
297	R_SMhand_34	SMhand	Parcel_297
298	R_SMhand_35	SMhand	Parcel_298
