index	label	cifti_label	community
115	L_VentralAttn_5	Parcel_115	VentralAttn
116	L_MedialVisual_7	Parcel_116	MedialVisual
117	L_MedialVisual_8	Parcel_117	MedialVisual
118	L_None_1	Parcel_118	Unassigned
119	L_MedialVisual_9	Parcel_119	MedialVisual
120	L_LateralVisual_12	Parcel_120	LateralVisual
121	L_LateralVisual_13	Parcel_121	LateralVisual
122	L_LateralVisual_14	Parcel_122	LateralVisual
123	L_LateralVisual_15	Parcel_123	LateralVisual
124	L_MedialVisual_10	Parcel_124	MedialVisual
125	L_MedialVisual_11	Parcel_125	MedialVisual
126	L_MedialVisual_12	Parcel_126	MedialVisual
127	L_MedialVisual_13	Parcel_127	MedialVisual
128	L_MedialVisual_14	Parcel_128	MedialVisual
129	L_MedialVisual_15	Parcel_129	MedialVisual
130	L_MedialVisual_16	Parcel_130	MedialVisual
131	L_MedialVisual_17	Parcel_131	MedialVisual
132	L_None_2	Parcel_132	Unassigned
133	L_MedialVisual_18	Parcel_133	MedialVisual
134	L_AntFrontoParietal_2	Parcel_134	AntFrontoParietal
135	L_AntDefault_8	Parcel_135	AntDefault
136	L_AntFrontoParietal_3	Parcel_136	AntFrontoParietal
137	L_AntDefault_9	Parcel_137	AntDefault
138	L_AntDefault_10	Parcel_138	AntDefault
139	L_AntDefault_11	Parcel_139	AntDefault
140	L_PreCentFrontoParietal_3	Parcel_140	PreCentFrontoParietal
141	L_PreCentFrontoParietal_4	Parcel_141	PreCentFrontoParietal
142	L_Auditory_11	Parcel_142	Auditory
143	L_VentralAttn_6	Parcel_143	VentralAttn
144	L_VentralAttn_7	Parcel_144	VentralAttn
145	L_VentralAttn_8	Parcel_145	VentralAttn
146	L_PostDefault_17	Parcel_146	PostDefault
147	R_PostDefault_18	Parcel_147	PostDefault
148	R_SupMotor_8	Parcel_148	SupMotor
149	R_InfMotor_10	Parcel_149	InfMotor
150	R_AntDefault_12	Parcel_150	AntDefault
151	R_LateralVisual_16	Parcel_151	LateralVisual
152	R_PostDefault_19	Parcel_152	PostDefault
153	R_PostDefault_20	Parcel_153	PostDefault
154	R_InfMotor_11	Parcel_154	InfMotor
155	R_Cingulate_5	Parcel_155	Cingulate
156	R_MedialVisual_19	Parcel_156	MedialVisual
157	R_MedialVisual_20	Parcel_157	MedialVisual
158	R_MedialVisual_21	Parcel_158	MedialVisual
159	R_MedialVisual_22	Parcel_159	MedialVisual
160	R_MedialVisual_23	Parcel_160	MedialVisual
161	R_MedialVisual_24	Parcel_161	MedialVisual
162	R_SupMotor_9	Parcel_162	SupMotor
163	R_Salience_9	Parcel_163	Salience
164	R_Salience_10	Parcel_164	Salience
165	R_Cingulate_6	Parcel_165	Cingulate
166	R_Cingulate_7	Parcel_166	Cingulate
167	R_Salience_11	Parcel_167	Salience
168	R_PostDefault_21	Parcel_168	PostDefault
169	R_SupMotor_10	Parcel_169	SupMotor
170	R_AntPrecuneus_3	Parcel_170	AntPrecuneus
171	R_InfPrecuneus_2	Parcel_171	InfPrecuneus
172	R_AntPrecuneus_4	Parcel_172	AntPrecuneus
173	R_SupMotor_11	Parcel_173	SupMotor
174	R_SupMotor_12	Parcel_174	SupMotor
175	R_AntDefault_13	Parcel_175	AntDefault
176	R_SupMotor_13	Parcel_176	SupMotor
177	R_SupMotor_14	Parcel_177	SupMotor
178	R_AntPreMotor_3	Parcel_178	AntPreMotor
179	R_SupMotor_15	Parcel_179	SupMotor
180	R_PostPreMotor_3	Parcel_180	PostPreMotor
181	R_DorsalAttn_9	Parcel_181	DorsalAttn
182	R_DorsalAttn_10	Parcel_182	DorsalAttn
183	R_InfMotor_12	Parcel_183	InfMotor
184	R_InfMotor_13	Parcel_184	InfMotor
185	R_PostDefault_22	Parcel_185	PostDefault
186	R_VentralAttn_9	Parcel_186	VentralAttn
187	R_Auditory_12	Parcel_187	Auditory
188	R_Auditory_13	Parcel_188	Auditory
189	R_PostDefault_23	Parcel_189	PostDefault
190	R_PostDefault_24	Parcel_190	PostDefault
191	R_Auditory_14	Parcel_191	Auditory
192	R_VentralAttn_10	Parcel_192	VentralAttn
193	R_VentralAttn_11	Parcel_193	VentralAttn
194	R_Auditory_15	Parcel_194	Auditory
195	R_VentralAttn_12	Parcel_195	VentralAttn
196	R_LatOrbitoFrontal_5	Parcel_196	LatOrbitoFrontal
197	R_Salience_12	Parcel_197	Salience
198	R_Insula_4	Parcel_198	Insula
199	R_InfFrontoParietal_3	Parcel_199	InfFrontoParietal
200	R_MedOrbitoFrontal_3	Parcel_200	MedOrbitoFrontal
201	R_Salience_13	Parcel_201	Salience
202	R_Salience_14	Parcel_202	Salience
203	R_Salience_15	Parcel_203	Salience
204	R_LatOrbitoFrontal_6	Parcel_204	LatOrbitoFrontal
205	R_LateralVisual_17	Parcel_205	LateralVisual
206	R_LateralVisual_18	Parcel_206	LateralVisual
207	R_PostDefault_25	Parcel_207	PostDefault
208	R_MedialVisual_25	Parcel_208	MedialVisual
209	R_MedialVisual_26	Parcel_209	MedialVisual
210	R_SupPrecuneus_2	Parcel_210	SupPrecuneus
211	R_PostDefault_26	Parcel_211	PostDefault
212	R_PostDefault_27	Parcel_212	PostDefault
213	R_LateralVisual_19	Parcel_213	LateralVisual
214	R_PostFrontoParietal_2	Parcel_214	PostFrontoParietal
215	R_LateralVisual_20	Parcel_215	LateralVisual
216	R_LateralVisual_21	Parcel_216	LateralVisual
217	R_LateralVisual_22	Parcel_217	LateralVisual
218	R_PostDefault_28	Parcel_218	PostDefault
219	R_PostDefault_29	Parcel_219	PostDefault
220	R_InfMotor_14	Parcel_220	InfMotor
221	R_InfMotor_15	Parcel_221	InfMotor
222	R_InfMotor_16	Parcel_222	InfMotor
223	R_DorsalAttn_11	Parcel_223	DorsalAttn
224	R_InfMotor_17	Parcel_224	InfMotor
225	R_DorsalAttn_12	Parcel_225	DorsalAttn
226	R_PreCentFrontoParietal_5	Parcel_226	PreCentFrontoParietal
227	R_PreCentFrontoParietal_6	Parcel_227	PreCentFrontoParietal
228	R_Insula_5	Parcel_228	Insula
229	R_DorsalAttn_13	Parcel_229	DorsalAttn
230	R_DorsalAttn_14	Parcel_230	DorsalAttn
231	R_DorsalAttn_15	Parcel_231	DorsalAttn
232	R_AntFrontoParietal_4	Parcel_232	AntFrontoParietal
233	R_AntDefault_14	Parcel_233	AntDefault
234	R_MedOrbitoFrontal_4	Parcel_234	MedOrbitoFrontal
235	R_LatOrbitoFrontal_7	Parcel_235	LatOrbitoFrontal
236	R_AntFrontoParietal_5	Parcel_236	AntFrontoParietal
237	R_Salience_16	Parcel_237	Salience
238	R_Salience_17	Parcel_238	Salience
239	R_AntDefault_15	Parcel_239	AntDefault
240	R_AntDefault_16	Parcel_240	AntDefault
241	R_AntDefault_17	Parcel_241	AntDefault
242	R_PostDefault_30	Parcel_242	PostDefault
243	R_PostDefault_31	Parcel_243	PostDefault
244	R_VentralAttn_13	Parcel_244	VentralAttn
245	R_MedialVisual_27	Parcel_245	MedialVisual
246	R_MedialVisual_28	Parcel_246	MedialVisual
247	R_MedialVisual_29	Parcel_247	MedialVisual
248	R_None_3	Parcel_248	Unassigned
249	R_MedialVisual_30	Parcel_249	MedialVisual
250	R_LateralVisual_23	Parcel_250	LateralVisual
251	R_LateralVisual_24	Parcel_251	LateralVisual
252	R_LateralVisual_25	Parcel_252	LateralVisual
253	R_LateralVisual_26	Parcel_253	LateralVisual
254	R_MedialVisual_31	Parcel_254	MedialVisual
255	R_MedialVisual_32	Parcel_255	MedialVisual
256	R_MedialVisual_33	Parcel_256	MedialVisual
257	R_MedialVisual_34	Parcel_257	MedialVisual
258	R_MedialVisual_35	Parcel_258	MedialVisual
259	R_MedialVisual_36	Parcel_259	MedialVisual
260	R_MedialVisual_37	Parcel_260	MedialVisual
261	R_MedialVisual_38	Parcel_261	MedialVisual
262	R_MedialVisual_39	Parcel_262	MedialVisual
263	R_MedialVisual_40	Parcel_263	MedialVisual
264	R_MedialVisual_41	Parcel_264	MedialVisual
265	R_MedialVisual_42	Parcel_265	MedialVisual
266	R_None_4	Parcel_266	Unassigned
267	R_MedialVisual_43	Parcel_267	MedialVisual
268	R_AntDefault_18	Parcel_268	AntDefault
269	R_AntFrontoParietal_6	Parcel_269	AntFrontoParietal
270	R_AntDefault_19	Parcel_270	AntDefault
271	R_AntFrontoParietal_7	Parcel_271	AntFrontoParietal
272	R_AntDefault_20	Parcel_272	AntDefault
273	R_AntFrontoParietal_8	Parcel_273	AntFrontoParietal
274	R_AntDefault_21	Parcel_274	AntDefault
275	R_AntDefault_22	Parcel_275	AntDefault
276	R_AntDefault_23	Parcel_276	AntDefault
277	R_AntFrontoParietal_9	Parcel_277	AntFrontoParietal
278	R_AntFrontoParietal_10	Parcel_278	AntFrontoParietal
279	R_AntDefault_24	Parcel_279	AntDefault
280	R_AntDefault_25	Parcel_280	AntDefault
281	R_Auditory_16	Parcel_281	Auditory
282	R_VentralAttn_14	Parcel_282	VentralAttn
283	R_VentralAttn_15	Parcel_283	VentralAttn
